title,Név,Krém,Íz,Test,Ár,Össz:,url
Pacificaffe Costa Rica Hacienda Sonora kávékóstoló,SicTransit,4.0,8.0,3.5,8.0,23.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1814:pacificaffe-costa-rica-hacienda-sonora-kavekostolo&catid=43&Itemid=110
Pacificaffe Costa Rica Hacienda Sonora kávékóstoló,Szabiakos,4.5,6.5,4.0,8.0,23.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1814:pacificaffe-costa-rica-hacienda-sonora-kavekostolo&catid=43&Itemid=110
Pacificaffe Costa Rica Hacienda Sonora kávékóstoló,Lorien,4.5,7.0,4.0,8.5,24.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1814:pacificaffe-costa-rica-hacienda-sonora-kavekostolo&catid=43&Itemid=110
Pacificaffe Costa Rica Hacienda Sonora kávékóstoló,Weinmaker,4.0,8.0,3.5,9.0,24.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1814:pacificaffe-costa-rica-hacienda-sonora-kavekostolo&catid=43&Itemid=110
Mobstery Costa Rica kávéteszt,Rocketeer,3.0,9.0,3.5,8.0,23.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1813:mobstery-costa-rica-kaveteszt&catid=43&Itemid=110
Mobstery Costa Rica kávéteszt,SicTransit,3.5,8.0,3.5,7.0,22.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1813:mobstery-costa-rica-kaveteszt&catid=43&Itemid=110
Mobstery Costa Rica kávéteszt,Szabiakos,4.5,9.0,4.0,8.0,25.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1813:mobstery-costa-rica-kaveteszt&catid=43&Itemid=110
Mobstery Costa Rica kávéteszt,Lorien,4.0,8.5,4.0,8.0,24.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1813:mobstery-costa-rica-kaveteszt&catid=43&Itemid=110
Mobstery Costa Rica kávéteszt,Weinmaker,3.5,8.5,3.5,8.0,22.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1813:mobstery-costa-rica-kaveteszt&catid=43&Itemid=110
Blckest Peru Huabal Cajamarca kávékóstoló,Rocketeer,4.5,9.0,4.0,8.0,25.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1812:blckest-peru-huabal-cajamarca-kavekostolo&catid=43&Itemid=110
Blckest Peru Huabal Cajamarca kávékóstoló,SicTransit,5.0,6.5,4.0,7.0,22.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1812:blckest-peru-huabal-cajamarca-kavekostolo&catid=43&Itemid=110
Blckest Peru Huabal Cajamarca kávékóstoló,Szabiakos,5.0,6.0,4.0,6.0,21.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1812:blckest-peru-huabal-cajamarca-kavekostolo&catid=43&Itemid=110
Blckest Peru Huabal Cajamarca kávékóstoló,Lorien,4.0,7.5,4.0,7.5,23.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1812:blckest-peru-huabal-cajamarca-kavekostolo&catid=43&Itemid=110
Blckest Peru Huabal Cajamarca kávékóstoló,Weinmaker,5.0,8.0,4.0,8.0,25.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1812:blckest-peru-huabal-cajamarca-kavekostolo&catid=43&Itemid=110
Blckest Blend kávékóstoló,Rocketeer,4.0,9.0,4.0,8.0,25.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1808:blckest-blend-kavekostolo&catid=43&Itemid=110
Blckest Blend kávékóstoló,SicTransit,5.0,7.0,4.5,9.0,25.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1808:blckest-blend-kavekostolo&catid=43&Itemid=110
Blckest Blend kávékóstoló,Szabiakos,5.0,8.0,4.0,6.0,23.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1808:blckest-blend-kavekostolo&catid=43&Itemid=110
Blckest Blend kávékóstoló,Lorien,3.5,7.5,4.5,7.5,22.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1808:blckest-blend-kavekostolo&catid=43&Itemid=110
Blckest Blend kávékóstoló,Weinmaker,5.0,8.5,4.0,9.0,26.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1808:blckest-blend-kavekostolo&catid=43&Itemid=110
Bányai Csokis Kuglóf - és tényleg!,Rocketeer,4.0,7.5,3.0,6.0,20.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1804:banyai-csokis-kuglof-es-tenyleg&catid=43&Itemid=110
Bányai Csokis Kuglóf - és tényleg!,SicTransit,5.0,7.0,4.5,6.0,22.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1804:banyai-csokis-kuglof-es-tenyleg&catid=43&Itemid=110
Bányai Csokis Kuglóf - és tényleg!,Szabiakos,5.0,8.0,3.5,4.0,20.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1804:banyai-csokis-kuglof-es-tenyleg&catid=43&Itemid=110
Bányai Csokis Kuglóf - és tényleg!,Lorien,4.0,7.5,5.0,6.0,22.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1804:banyai-csokis-kuglof-es-tenyleg&catid=43&Itemid=110
Bányai Csokis Kuglóf - és tényleg!,Weinmaker,4.5,9.5,4.0,6.0,24.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1804:banyai-csokis-kuglof-es-tenyleg&catid=43&Itemid=110
Cornella Barista Pro kávékóstoló,Rocketeer,4.0,7.5,4.0,6.0,21.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1802:cornella-barista-pro-kavekostolo&catid=43&Itemid=110
Cornella Barista Pro kávékóstoló,SicTransit,4.0,3.0,4.0,4.0,15.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1802:cornella-barista-pro-kavekostolo&catid=43&Itemid=110
Cornella Barista Pro kávékóstoló,Szabiakos,3.5,6.5,3.5,4.0,17.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1802:cornella-barista-pro-kavekostolo&catid=43&Itemid=110
Cornella Barista Pro kávékóstoló,Lorien,4.5,7.5,4.5,6.0,22.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1802:cornella-barista-pro-kavekostolo&catid=43&Itemid=110
Cornella Barista Pro kávékóstoló,Weinmaker,4.0,7.5,4.0,6.0,21.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1802:cornella-barista-pro-kavekostolo&catid=43&Itemid=110
Awaken Banko Gotiti - Ethiopia kávékóstoló,Rocketeer,3.0,10.0,3.5,8.0,24.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1797:awaken-banko-gotiti-ethiopia-kavekostolo&catid=43&Itemid=110
Awaken Banko Gotiti - Ethiopia kávékóstoló,SicTransit,5.0,9.0,4.5,9.0,27.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1797:awaken-banko-gotiti-ethiopia-kavekostolo&catid=43&Itemid=110
Awaken Banko Gotiti - Ethiopia kávékóstoló,Szabiakos,4.0,9.0,3.5,8.0,24.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1797:awaken-banko-gotiti-ethiopia-kavekostolo&catid=43&Itemid=110
Awaken Banko Gotiti - Ethiopia kávékóstoló,Lorien,3.5,8.0,4.0,7.0,22.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1797:awaken-banko-gotiti-ethiopia-kavekostolo&catid=43&Itemid=110
Awaken Banko Gotiti - Ethiopia kávékóstoló,Weinmaker,3.5,9.0,4.0,8.0,24.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1797:awaken-banko-gotiti-ethiopia-kavekostolo&catid=43&Itemid=110
Cartapani Cinquestelle kávékóstoló,Rocketeer,4.5,8.5,4.0,6.0,23.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1796:cartapani-cinquestelle-kavekostolo&catid=43&Itemid=110
Cartapani Cinquestelle kávékóstoló,SicTransit,5.0,7.5,4.0,7.0,23.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1796:cartapani-cinquestelle-kavekostolo&catid=43&Itemid=110
Cartapani Cinquestelle kávékóstoló,Szabiakos,4.5,6.0,4.0,5.0,19.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1796:cartapani-cinquestelle-kavekostolo&catid=43&Itemid=110
Cartapani Cinquestelle kávékóstoló,Lorien,4.5,7.5,4.0,7.0,23.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1796:cartapani-cinquestelle-kavekostolo&catid=43&Itemid=110
Cartapani Cinquestelle kávékóstoló,Weinmaker,4.5,7.5,4.0,7.0,24.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1796:cartapani-cinquestelle-kavekostolo&catid=43&Itemid=110
Bristot Brasile kávékóstoló,Rocketeer,3.0,6.0,4.0,6.0,19.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1793:bristot-brasile-kavekostolo&catid=43&Itemid=110
Bristot Brasile kávékóstoló,SicTransit,3.5,7.5,4.0,8.0,23.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1793:bristot-brasile-kavekostolo&catid=43&Itemid=110
Bristot Brasile kávékóstoló,Szabiakos,3.5,6.0,3.0,6.0,18.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1793:bristot-brasile-kavekostolo&catid=43&Itemid=110
Bristot Brasile kávékóstoló,Lorien,4.0,5.5,4.0,5.5,19.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1793:bristot-brasile-kavekostolo&catid=43&Itemid=110
Bristot Brasile kávékóstoló,Weinmaker,3.5,6.5,4.0,6.0,20.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1793:bristot-brasile-kavekostolo&catid=43&Itemid=110
